fileName,modelAtmosphere,pathType,surfaceAlbedo,surfaceTemperature,albedoFilename,targetLabel,backgroundLabel,visibility,groundAltitude,sensorAltitude,targetAltitude,sensorZenith,sensorAzimuth,dZenith,dAzimuth,dayNumber,extraterrestrialSource,latitude,longitude,timeUTC,startingWavelength,endingWavelength,wavelengthIncrement,fwhm,key
tape5,2,2,,303.15,spec_alb.dat,green felt,"constant, 18%",0.0,0.168,0.28231,100.0,0.0,0.0,2.5,5,312,0,43.041,77.698,15.0,0.3,1.2,0.001,0.001,0
Target Norm Blue,Target Norm Green,Target Norm Red,Target Norm RE,Target Norm IR,radianceType,Downwelling Norm Blue,Downwelling Norm Green,Downwelling Norm Red,Downwelling Norm RE,Downwelling Norm IR,radianceType
0.00109421756734,0.0010423389106,0.000501105216304,0.00043621860611,0.00181081157716,Target,0.0,0.0,0.0,0.0,0.0,Downwelling
wavelengths,tgtSolScat,groundReflect,directReflect,estDownwell,totalRadiance,sumSolScat,Norm Blue,Norm Green,Norm Red,Norm RE,Norm IR
0.351,0.00010359,0.00030027,4.2501e-05,0.000257769,0.00040387,0.0,0.0,0.0,0.0,0.0,0.0
0.352,0.00010735,0.00030634,4.4099e-05,0.000262241,0.00041369,0.0,0.0,0.0,0.0,0.0,0.0
0.353,0.00010028,0.00028204,4.1282e-05,0.000240758,0.00038233,0.0,0.0,0.0,0.0,0.0,0.0
0.354,0.00011433,0.00031845,4.7328e-05,0.000271122,0.00043278,0.0,0.0,0.0,0.0,0.0,0.0
0.355,0.00011694,0.00032548,4.9116e-05,0.000276364,0.00044242,0.0,0.0,0.0,0.0,0.0,0.0
0.356,0.00011527,0.00032117,4.9244e-05,0.000271926,0.00043644,0.0,0.0,0.0,0.0,0.0,0.0
0.357,7.9051e-05,0.00022022,3.4279e-05,0.000185941,0.00029927,0.0,0.0,0.0,0.0,0.0,0.0
0.358,8.6145e-05,0.000239,3.7724e-05,0.000201276,0.00032515,0.0,0.0,0.0,0.0,0.0,0.0
0.359,8.2414e-05,0.00022753,3.6522e-05,0.000191008,0.00030994,0.0,0.0,0.0,0.0,0.0,0.0
0.36,0.00011639,0.00031996,5.2021e-05,0.000267939,0.00043635,0.0,0.0,0.0,0.0,0.0,0.0
0.361,9.0465e-05,0.0002473,4.0952e-05,0.000206348,0.00033776,0.0,0.0,0.0,0.0,0.0,0.0
0.362,9.9928e-05,0.00027201,4.5498e-05,0.000226512,0.00037194,0.0,0.0,0.0,0.0,0.0,0.0
0.363,0.00010916,0.00029631,5.0241e-05,0.000246069,0.00040547,0.0,0.0,0.0,0.0,0.0,0.0
0.364,0.00010899,0.00029502,5.0749e-05,0.000244271,0.000404,0.0,0.0,0.0,0.0,0.0,0.0
0.365,0.00010051,0.00027329,4.7681e-05,0.000225609,0.00037381,0.0,0.0,0.0,0.0,0.0,0.0
0.366,0.00013454,0.0003678,6.4976e-05,0.000302824,0.00050234,0.0,0.0,0.0,0.0,0.0,0.0
0.367,0.00012115,0.0003327,5.9568e-05,0.000273132,0.00045385,0.0,0.0,0.0,0.0,0.0,0.0
0.368,0.0001142,0.00031498,5.7121e-05,0.000257859,0.00042917,0.0,0.0,0.0,0.0,0.0,0.0
0.369,0.00011045,0.00030641,5.6304e-05,0.000250106,0.00041686,0.0,0.0,0.0,0.0,0.0,0.0
0.37,0.00012663,0.00035409,6.5871e-05,0.000288219,0.00048072,0.0,0.0,0.0,0.0,0.0,0.0
0.371,0.00010085,0.00028447,5.3626e-05,0.000230844,0.00038532,0.0,0.0,0.0,0.0,0.0,0.0
0.372,0.00010576,0.00030076,5.7294e-05,0.000243466,0.00040652,0.0,0.0,0.0,0.0,0.0,0.0
0.373,0.00010542,0.00030346,5.8577e-05,0.000244883,0.00040888,0.0,0.0,0.0,0.0,0.0,0.0
0.374,8.2231e-05,0.00023903,4.6741e-05,0.000192289,0.00032126,0.0,0.0,0.0,0.0,0.0,0.0
0.375,7.4317e-05,0.0002177,4.3062e-05,0.000174638,0.00029202,0.0,0.0,0.0,0.0,0.0,0.0
0.376,0.00010685,0.00031529,6.3019e-05,0.000252271,0.00042214,0.0,0.0,0.0,0.0,0.0,0.0
0.377,0.00010898,0.00032538,6.584e-05,0.00025954,0.00043436,0.0,0.0,0.0,0.0,0.0,0.0
0.378,0.00014176,0.00042816,8.7607e-05,0.000340553,0.00056992,0.0,0.0,0.0,0.0,0.0,0.0
0.379,0.00010839,0.00033135,6.8524e-05,0.000262826,0.00043974,0.0,0.0,0.0,0.0,0.0,0.0
0.38,9.9651e-05,0.00031055,6.5002e-05,0.000245548,0.0004102,0.0,0.0,0.0,0.0,0.0,0.0
0.381,0.00011404,0.00036156,7.6443e-05,0.000285117,0.00047559,0.0,0.0,0.0,0.0,0.0,0.0
